"bad","weight","older","younger","female","male","race_asian","race_black","race_hispanic","race_other","race_white","score1","score2","score4","score5","bad_predicted","portion"
"0","1","0","1","0","1","0","0.0090180917999999992","0.000436842","0.0077485538999999999","0.98279651229999998","644","643","691","488","0","1"
"0","1","0","1","1","0","0","0.1711537846","0.0016110987000000001","0.0052244930999999998","0.82201062359999999","611","609","654","373","0","1"
"0","1","0","1","1","0","0","0","0","0.0097455779999999995","0.99025442200000002","596","602","621","348","0","1"
"0","1","0","1","1","0","0","0.057386414199999999","0.0017187792","0.0081282846000000006","0.93276652199999999","665","626","681","466","0","1"
"0","1","0","1","0","1","0.0004626187","5.01165e-05","0.0014848178000000001","0.027173289999999999","0.97082915700000005","654","614","656","490","0","1"
"0","1","0","1","1","0","0","0.60351379650000003","0.0024636591","0.022038446900000001","0.3719840975","625","605","599","345","0","1"
"0","1","0","1","0","1","0.0106929355","0.0073916216999999999","0.98023328060000003","0.0014897024","0.0001924598","656","683","618","509","0","1"
"0","1","0","1","0","1","0","0.0038687329","0.00036944799999999998","0.0062897684000000004","0.98947205069999999","626","600","579","320","0","1"
"0","1","0","1","0","1","0.018270284899999999","0","0.96162424199999996","0.0091026821000000004","0.011002791","637","629","681","425","0","1"
"0","1","0","1","1","0","0.0054880594999999997","0.0018376480000000001","0.00062323979999999999","0.0067368347000000004","0.98531421809999997","691","677","695","475","0","1"
"0","1","0","1","0","1","0","0.55116499279999998","0.031009190499999999","0.0342356734","0.38359014330000002","624","611","605","393","0","1"
"0","1","0","1","1","0","0","0.77471182999999999","0.066115896800000004","0.0300159859","0.12915628730000001","655","616","718","436","0","1"
"0","1","0","1","0","1","0","0.64567558579999995","0.0204711149","0.0136202214","0.32023307779999999","607","588","601","322","0","1"
"0","1","0","1","0","1","0.020175312300000001","0.46819123909999999","0.1725889478","0.0193240158","0.31972048489999999","657","573","635","393","0","1"
"0","1","0","1","1","0","0","0","0.018271526400000002","0.065132233100000006","0.91659624049999999","662","571","650","411","0","1"
"0","1","0","1","0","1","0.4801074501","0.020776158499999999","0.27709716849999999","0.017037830899999998","0.20498139200000001","667","600","630","389","0","1"
"0","1","0","1","0","1","0.099671421400000002","0.019229388699999999","0.1146964264","0.0233863752","0.74301638820000004","709","708","755","539","0","1"
"0","1","0","1","","","0","0.30105464640000001","0.00092974970000000003","0.0126630206","0.68535258340000005","631","582","682","401","0","1"
"0","1","0","1","0","1","0","0.24526207659999999","0.0043160153999999996","0.0087617448000000004","0.74166016310000005","676","665","688","539","0","1"
"0","1","0","1","","","0","0","0.99873001920000004","0.00027938419999999999","0.00099059660000000004","656","582","625","419","0","1"
"0","1","0","1","","","0","0.12400581450000001","0.0020283253999999998","0.0179163915","0.85604946859999997","605","598","651","211","0","1"
"0","1","0","1","0","1","0.00055883949999999995","0","0.00011957830000000001","0.0024147202","0.99690686210000001","700","673","656","440","0","1"
"0","1","1","0","0","1","0","0","0.015505609300000001","0.0087883299000000008","0.9757060608","638","626","686","306","0","1"
"0","1","0","1","1","0","0","0","0.8733522521","0.028326510900000001","0.098321237000000006","573","568","615","378","0","1"
"0","1","0","1","1","0","0.020917382000000002","0.051688600699999997","0.0480021817","0.017446949","0.86194488660000002","684","605","668","330","0","1"
"0","1","1","0","1","0","0","0.0218138633","0.0076857460000000002","0.0056894833000000001","0.96481090739999997","672","617","708","517","0","1"
"0","1","0","1","1","0","0.025346240700000001","0","0.88723284000000002","0.0046072101000000001","0.082813709200000002","643","624","657","459","0","1"
